a,b,c,d,e,f
-0.378807306,-0.649483919,0.41279,-0.36501801,-0.642604232,0.410746098
-0.36501801,-0.642604232,0.410746098,-0.348848432,-0.63840121,0.416451693
-0.348848432,-0.63840121,0.416451693,-0.333870411,-0.635921061,0.425917864
-0.333870411,-0.635921061,0.425917864,-0.319670081,-0.634666979,0.437440991
-0.319670081,-0.634666979,0.437440991,-0.305773228,-0.633828104,0.450144768
-0.305773228,-0.633828104,0.450144768,-0.292767018,-0.635140181,0.457993329
-0.292767018,-0.635140181,0.457993329,-0.275791138,-0.641623974,0.459844351
-0.275791138,-0.641623974,0.459844351,-0.273519188,-0.644346356,0.438915074
-0.273519188,-0.644346356,0.438915074,-0.272590786,-0.649439037,0.411809623
-0.272590786,-0.649439037,0.411809623,-0.27236712,-0.651147366,0.388052464
-0.27236712,-0.651147366,0.388052464,-0.27240634,-0.651663244,0.364821613
-0.27240634,-0.651663244,0.364821613,-0.272372514,-0.651577115,0.341314077
-0.272372514,-0.651577115,0.341314077,-0.272465259,-0.651854575,0.319443643
-0.272465259,-0.651854575,0.319443643,-0.275485486,-0.671189547,0.309574068
-0.275485486,-0.671189547,0.309574068,-0.275040835,-0.668120563,0.28888464
-0.275040835,-0.668120563,0.28888464,-0.275108904,-0.670713723,0.261124194
-0.275108904,-0.670713723,0.261124194,-0.278598487,-0.673632383,0.279523969
-0.278598487,-0.673632383,0.279523969,-0.280593634,-0.674236536,0.304798305
-0.280593634,-0.674236536,0.304798305,-0.281176716,-0.67549938,0.327928007
-0.281176716,-0.67549938,0.327928007,-0.281324178,-0.676291108,0.351004958
-0.281324178,-0.676291108,0.351004958,-0.281386733,-0.676255286,0.374594152
-0.281386733,-0.676255286,0.374594152,-0.281234473,-0.675257742,0.398321867
-0.281234473,-0.675257742,0.398321867,-0.280923396,-0.673438251,0.42215842
-0.280923396,-0.673438251,0.42215842,-0.280583322,-0.670812786,0.446107388
-0.280583322,-0.670812786,0.446107388,-0.279997647,-0.667369127,0.470148861
-0.279997647,-0.667369127,0.470148861,-0.27937302,-0.663026869,0.494229913
-0.27937302,-0.663026869,0.494229913,-0.278563708,-0.657955527,0.517962754
-0.278563708,-0.657955527,0.517962754,-0.278416634,-0.655692935,0.535459936
-0.278416634,-0.655692935,0.535459936,-0.278747529,-0.657311976,0.547003806
-0.278747529,-0.657311976,0.547003806,-0.276014626,-0.642219424,0.560104787
-0.276014626,-0.642219424,0.560104787,-0.286920726,-0.64597851,0.559381306
-0.286920726,-0.64597851,0.559381306,-0.303029299,-0.651934862,0.555556595
-0.303029299,-0.651934862,0.555556595,-0.318265796,-0.657063663,0.554097712
-0.318265796,-0.657063663,0.554097712,-0.333513945,-0.66186142,0.55325073
-0.333513945,-0.66186142,0.55325073,-0.349257827,-0.666616023,0.551912248
-0.349257827,-0.666616023,0.551912248,-0.365296721,-0.671087861,0.55027622
-0.365296721,-0.671087861,0.55027622,-0.381715357,-0.675144494,0.548499167
-0.381715357,-0.675144494,0.548499167,-0.39835313,-0.678722262,0.546482027
-0.39835313,-0.678722262,0.546482027,-0.415276706,-0.681955636,0.544242203
-0.415276706,-0.681955636,0.544242203,-0.43238005,-0.684742868,0.541779816
-0.43238005,-0.684742868,0.541779816,-0.449692994,-0.686994195,0.53908664
-0.449692994,-0.686994195,0.53908664,-0.467216343,-0.688668787,0.536931694
-0.467216343,-0.688668787,0.536931694,-0.482976437,-0.68621093,0.542781651
-0.482976437,-0.68621093,0.542781651,-0.496964693,-0.679095924,0.554673493
-0.496964693,-0.679095924,0.554673493,-0.510181844,-0.669695497,0.560824454
-0.510181844,-0.669695497,0.560824454,-0.523674548,-0.660504878,0.561648309
-0.523674548,-0.660504878,0.561648309,-0.584101617,-0.609156251,0.561976016
-0.584101617,-0.609156251,0.561976016,-0.598420024,-0.611271501,0.563328683
-0.598420024,-0.611271501,0.563328683,-0.619056225,-0.611307442,0.559745848
-0.619056225,-0.611307442,0.559745848,-0.638337135,-0.608990788,0.556385338
-0.638337135,-0.608990788,0.556385338,-0.656094015,-0.605158329,0.551593006
-0.656094015,-0.605158329,0.551593006,-0.671760917,-0.601248205,0.539310634
-0.671760917,-0.601248205,0.539310634,-0.684262753,-0.609077692,0.51107198
-0.684262753,-0.609077692,0.51107198,-0.685897171,-0.610989928,0.489049137
-0.685897171,-0.610989928,0.489049137,-0.691158235,-0.617906928,0.454118073
-0.691158235,-0.617906928,0.454118073,-0.693032563,-0.621031582,0.428642094
-0.693032563,-0.621031582,0.428642094,-0.691270292,-0.619099975,0.41650337
-0.691270292,-0.619099975,0.41650337,-0.689157248,-0.616163552,0.406649709
-0.689157248,-0.616163552,0.406649709,-0.683456779,-0.608349919,0.360935807
-0.683456779,-0.608349919,0.360935807,-0.683456779,-0.608349919,0.360935807
-0.378780901,-0.649389446,0.413061857,-0.36499238,-0.642510712,0.411013424
-0.36499238,-0.642510712,0.411013424,-0.348823071,-0.638305485,0.416714072
-0.348823071,-0.638305485,0.416714072,-0.333845645,-0.63582164,0.426177084
-0.333845645,-0.63582164,0.426177084,-0.319646597,-0.634563029,0.437697768
-0.319646597,-0.634563029,0.437697768,-0.305750757,-0.633719027,0.45039928
-0.305750757,-0.633719027,0.45039928,-0.292745531,-0.635027707,0.458247364
-0.292745531,-0.635027707,0.458247364,-0.27577424,-0.641509533,0.460095704
-0.27577424,-0.641509533,0.460095704,-0.273503542,-0.644239485,0.43916744
-0.273503542,-0.644239485,0.43916744,-0.272577226,-0.649341881,0.412062824
-0.272577226,-0.649341881,0.412062824,-0.272355169,-0.651058793,0.388305545
-0.272355169,-0.651058793,0.388305545,-0.272395909,-0.651582778,0.365074694
-0.272395909,-0.651582778,0.365074694,-0.272363514,-0.651505172,0.341566741
-0.272363514,-0.651505172,0.341566741,-0.272457331,-0.651790619,0.319696248
-0.272457331,-0.651790619,0.319696248,-0.275478363,-0.67112577,0.309843838
-0.275478363,-0.67112577,0.309843838,-0.275035113,-0.668064415,0.289153159
-0.275035113,-0.668064415,0.289153159,-0.27517423,-0.67062521,0.261164248
-0.27517423,-0.67062521,0.261164248,-0.278531849,-0.673713684,0.279558837
-0.278531849,-0.673713684,0.279558837,-0.280578226,-0.674175024,0.304822445
-0.280578226,-0.674175024,0.304822445,-0.28120473,-0.675492823,0.327949822
-0.28120473,-0.675492823,0.327949822,-0.281362921,-0.676315367,0.351029575
-0.281362921,-0.676315367,0.351029575,-0.281356812,-0.676163435,0.374599993
-0.281356812,-0.676163435,0.374599993,-0.28123799,-0.675184786,0.398336411
-0.28123799,-0.675184786,0.398336411,-0.280982763,-0.673397303,0.422181189
-0.280982763,-0.673397303,0.422181189,-0.28058067,-0.670775175,0.446136415
-0.28058067,-0.670775175,0.446136415,-0.280037045,-0.667309046,0.470172524
-0.280037045,-0.667309046,0.470172524,-0.279352754,-0.662992895,0.494256437
-0.279352754,-0.662992895,0.494256437,-0.278557122,-0.657922029,0.518005908
-0.278557122,-0.657922029,0.518005908,-0.278398633,-0.655602992,0.535443723
-0.278398633,-0.655602992,0.535443723,-0.278710097,-0.65715462,0.547003448
-0.278710097,-0.65715462,0.547003448,-0.275989234,-0.642018735,0.560113013
-0.275989234,-0.642018735,0.560113013,-0.287008435,-0.645772457,0.559396923
-0.287008435,-0.645772457,0.559396923,-0.302999496,-0.651849866,0.555676639
-0.302999496,-0.651849866,0.555676639,-0.318320423,-0.657040656,0.554275811
-0.318320423,-0.657040656,0.554275811,-0.333567023,-0.661816716,0.55344218
-0.333567023,-0.661816716,0.55344218,-0.349309236,-0.66659075,0.552102864
-0.349309236,-0.66659075,0.552102864,-0.365401924,-0.67106396,0.550475895
-0.365401924,-0.67106396,0.550475895,-0.381754845,-0.675098479,0.548695982
-0.381754845,-0.675098479,0.548695982,-0.398379117,-0.678716838,0.546702087
-0.398379117,-0.678716838,0.546702087,-0.415272802,-0.68192178,0.54446727
-0.415272802,-0.68192178,0.54446727,-0.432418495,-0.684691966,0.542001426
-0.432418495,-0.684691966,0.542001426,-0.449801177,-0.687011421,0.539310992
-0.449801177,-0.687011421,0.539310992,-0.467036813,-0.688246191,0.538440406
-0.467036813,-0.688246191,0.538440406,-0.482224166,-0.684463501,0.546599329
-0.482224166,-0.684463501,0.546599329,-0.495731473,-0.67641288,0.557503521
-0.495731473,-0.67641288,0.557503521,-0.508988559,-0.667084813,0.56141299
-0.508988559,-0.667084813,0.56141299,-0.555734277,-0.630894661,0.561958015
-0.555734277,-0.630894661,0.561958015,-0.569961369,-0.63364476,0.563349545
-0.569961369,-0.63364476,0.563349545,-0.590679824,-0.634708345,0.559929192
-0.590679824,-0.634708345,0.559929192,-0.609968662,-0.633365035,0.556799829
-0.609968662,-0.633365035,0.556799829,-0.627346218,-0.62958169,0.54952997
-0.627346218,-0.62958169,0.54952997,-0.643868625,-0.625717282,0.535138667
-0.643868625,-0.625717282,0.535138667,-0.655807853,-0.6308617,0.511120856
-0.655807853,-0.6308617,0.511120856,-0.657370746,-0.632737517,0.489070833
-0.657370746,-0.632737517,0.489070833,-0.662435055,-0.639837027,0.454386294
-0.662435055,-0.639837027,0.454386294,-0.664192021,-0.643188059,0.428628981
-0.664192021,-0.643188059,0.428628981,-0.662481666,-0.64126265,0.416159034
-0.662481666,-0.64126265,0.416159034,-0.660524309,-0.638196349,0.406255126
-0.660524309,-0.638196349,0.406255126,-0.655096829,-0.63009429,0.361237228
-0.655096829,-0.63009429,0.361237228,-0.655096829,-0.63009429,0.361237228
-0.378740817,-0.649266243,0.413399935,-0.364953637,-0.642388165,0.411345422
-0.364953637,-0.642388165,0.411345422,-0.348785877,-0.638180077,0.417041063
-0.348785877,-0.638180077,0.417041063,-0.333809972,-0.635691345,0.42650032
-0.333809972,-0.635691345,0.42650032,-0.319612354,-0.634426832,0.438017964
-0.319612354,-0.634426832,0.438017964,-0.305718154,-0.633576691,0.450716615
-0.305718154,-0.633576691,0.450716615,-0.292715549,-0.634881377,0.458562911
-0.292715549,-0.634881377,0.458562911,-0.275748372,-0.641361654,0.460415542
-0.275748372,-0.641361654,0.460415542,-0.273479998,-0.644100904,0.439488351
-0.273479998,-0.644100904,0.439488351,-0.272556096,-0.649215877,0.41238457
-0.272556096,-0.649215877,0.41238457,-0.272335589,-0.650943875,0.388627887
-0.272335589,-0.650943875,0.388627887,-0.272378087,-0.651478708,0.365396976
-0.272378087,-0.651478708,0.365396976,-0.27234754,-0.651411951,0.341888785
-0.27234754,-0.651411951,0.341888785,-0.272443175,-0.651707292,0.320018411
-0.272443175,-0.651707292,0.320018411,-0.275464058,-0.671045005,0.310184002
-0.275464058,-0.671045005,0.310184002,-0.275022417,-0.667993188,0.289492249
-0.275022417,-0.667993188,0.289492249,-0.275254458,-0.670306385,0.261176467
-0.275254458,-0.670306385,0.261176467,-0.278567702,-0.673491895,0.279963553
-0.278567702,-0.673491895,0.279963553,-0.280571163,-0.674019575,0.305287421
-0.280571163,-0.674019575,0.305287421,-0.281164408,-0.675326407,0.328395545
-0.281164408,-0.675326407,0.328395545,-0.281321049,-0.676159501,0.351472437
-0.281321049,-0.676159501,0.351472437,-0.28134644,-0.676000953,0.375047505
-0.28134644,-0.676000953,0.375047505,-0.281214118,-0.67502135,0.398784161
-0.281214118,-0.67502135,0.398784161,-0.28092888,-0.673217058,0.422634065
-0.28092888,-0.673217058,0.422634065,-0.280591846,-0.670547187,0.446574211
-0.280591846,-0.670547187,0.446574211,-0.280039966,-0.667051613,0.470607042
-0.280039966,-0.667051613,0.470607042,-0.279368341,-0.6627388,0.494687617
-0.279368341,-0.6627388,0.494687617,-0.278555781,-0.657667696,0.518443763
-0.278555781,-0.657667696,0.518443763,-0.27837196,-0.655341268,0.535877168
-0.27837196,-0.655341268,0.535877168,-0.27869913,-0.65684998,0.54743129
-0.27869913,-0.65684998,0.54743129,-0.275934428,-0.641807497,0.560569584
-0.275934428,-0.641807497,0.560569584,-0.286984265,-0.645527482,0.559838951
-0.286984265,-0.645527482,0.559838951,-0.302907437,-0.651308179,0.555831492
-0.302907437,-0.651308179,0.555831492,-0.318194538,-0.656437635,0.554289758
-0.318194538,-0.656437635,0.554289758,-0.333376586,-0.661171615,0.553431332
-0.333376586,-0.661171615,0.553431332,-0.349091947,-0.665918887,0.552097499
-0.349091947,-0.665918887,0.552097499,-0.365160942,-0.67039901,0.550475061
-0.365160942,-0.67039901,0.550475061,-0.381499439,-0.674442053,0.548683822
-0.381499439,-0.674442053,0.548683822,-0.398124397,-0.678063989,0.546701849
-0.398124397,-0.678063989,0.546701849,-0.415032834,-0.681280136,0.544474304
-0.415032834,-0.681280136,0.544474304,-0.43212387,-0.684042811,0.542012274
-0.43212387,-0.684042811,0.542012274,-0.449509174,-0.686382651,0.539328158
-0.449509174,-0.686382651,0.539328158,-0.467119843,-0.688251197,0.536411107
-0.467119843,-0.688251197,0.536411107,-0.484275162,-0.688597441,0.53649503
-0.484275162,-0.688597441,0.53649503,-0.499194831,-0.683701336,0.545895398
-0.499194831,-0.683701336,0.545895398,-0.512841284,-0.675350726,0.557524621
-0.512841284,-0.675350726,0.557524621,-0.526064932,-0.665715456,0.561852992
-0.526064932,-0.665715456,0.561852992,-0.539595246,-0.656262636,0.562147677
-0.539595246,-0.656262636,0.562147677,-0.582520604,-0.619434714,0.5625543
-0.582520604,-0.619434714,0.5625543,-0.596852779,-0.621589839,0.563816011
-0.596852779,-0.621589839,0.563816011,-0.617600322,-0.621726394,0.560055554
-0.617600322,-0.621726394,0.560055554,-0.636877477,-0.61946249,0.55648917
-0.636877477,-0.61946249,0.55648917,-0.654765844,-0.615611434,0.551600039
-0.654765844,-0.615611434,0.551600039,-0.670542717,-0.611615896,0.539200485
-0.670542717,-0.611615896,0.539200485,-0.682594717,-0.619405031,0.511722147
-0.682594717,-0.619405031,0.511722147,-0.68433398,-0.621277571,0.489650488
-0.68433398,-0.621277571,0.489650488,-0.689633429,-0.62826848,0.454582334
-0.689633429,-0.62826848,0.454582334,-0.691330671,-0.63146764,0.42943275
-0.691330671,-0.63146764,0.42943275,-0.689488947,-0.629448235,0.41761899
-0.689488947,-0.629448235,0.41761899,-0.687461972,-0.626502275,0.407805443
-0.687461972,-0.626502275,0.407805443,-0.681910574,-0.618739843,0.361688316
-0.681910574,-0.618739843,0.361688316,-0.681910574,-0.618739843,0.361688316
-0.37870881,-0.649156868,0.413700044,-0.364922851,-0.642279685,0.411640823
-0.364922851,-0.642279685,0.411640823,-0.348756194,-0.638069332,0.417332411
-0.348756194,-0.638069332,0.417332411,-0.333781242,-0.635576427,0.426787913
-0.333781242,-0.635576427,0.426787913,-0.319584459,-0.634306908,0.438302398
-0.319584459,-0.634306908,0.438302398,-0.305691093,-0.633450925,0.450998306
-0.305691093,-0.633450925,0.450998306,-0.292690068,-0.634751976,0.458842933
-0.292690068,-0.634751976,0.458842933,-0.275727183,-0.641224384,0.460704744
-0.275727183,-0.641224384,0.460704744,-0.273460716,-0.643972039,0.439778507
-0.273460716,-0.643972039,0.439778507,-0.272539347,-0.649098396,0.412676692
-0.272539347,-0.649098396,0.412676692,-0.272320807,-0.650836408,0.388920546
-0.272320807,-0.650836408,0.388920546,-0.272364676,-0.651381075,0.365689933
-0.272364676,-0.651381075,0.365689933,-0.272335678,-0.651324093,0.342181683
-0.272335678,-0.651324093,0.342181683,-0.272432685,-0.651628137,0.320310593
-0.272432685,-0.651628137,0.320310593,-0.275454402,-0.670975566,0.31046623
-0.275454402,-0.670975566,0.31046623,-0.275014102,-0.667931736,0.289773583
-0.275014102,-0.667931736,0.289773583,-0.27542311,-0.670477152,0.261195302
-0.27542311,-0.670477152,0.261195302,-0.278594136,-0.673577785,0.280166805
-0.278594136,-0.673577785,0.280166805,-0.280560583,-0.673960209,0.30551815
-0.280560583,-0.673960209,0.30551815,-0.281172901,-0.675276339,0.328609824
-0.281172901,-0.675276339,0.328609824,-0.281336308,-0.676069081,0.351683497
-0.281336308,-0.676069081,0.351683497,-0.2813434,-0.675894916,0.375259578
-0.2813434,-0.675894916,0.375259578,-0.281200856,-0.674890935,0.398994982
-0.281200856,-0.674890935,0.398994982,-0.280928642,-0.673089564,0.422837377
-0.280928642,-0.673089564,0.422837377,-0.280553192,-0.670448422,0.446785927
-0.280553192,-0.670448422,0.446785927,-0.280020386,-0.666949689,0.470818579
-0.280020386,-0.666949689,0.470818579,-0.279321283,-0.662612915,0.494899094
-0.279321283,-0.662612915,0.494899094,-0.278513402,-0.657528996,0.518649399
-0.278513402,-0.657528996,0.518649399,-0.278383285,-0.65520072,0.536076725
-0.278383285,-0.65520072,0.536076725,-0.278701782,-0.656729877,0.547635257
-0.278701782,-0.656729877,0.547635257,-0.275946498,-0.641631663,0.560775697
-0.275946498,-0.641631663,0.560775697,-0.286975443,-0.645397663,0.56008929
-0.286975443,-0.645397663,0.56008929,-0.30295378,-0.651538134,0.556431353
-0.30295378,-0.651538134,0.556431353,-0.318283916,-0.656762481,0.555058181
-0.318283916,-0.656762481,0.555058181,-0.333504647,-0.661547244,0.554231822
-0.333504647,-0.661547244,0.554231822,-0.349243492,-0.666332483,0.552909911
-0.349243492,-0.666332483,0.552909911,-0.365311205,-0.67080766,0.551293552
-0.365311205,-0.67080766,0.551293552,-0.381683081,-0.674853861,0.549518406
-0.381683081,-0.674853861,0.549518406,-0.398277074,-0.678491414,0.547534645
-0.398277074,-0.678491414,0.547534645,-0.415160179,-0.68169862,0.545300782
-0.415160179,-0.68169862,0.545300782,-0.432293981,-0.684468806,0.542858779
-0.432293981,-0.684468806,0.542858779,-0.44966352,-0.686797857,0.54018122
-0.44966352,-0.686797857,0.54018122,-0.466653615,-0.687580347,0.540425956
-0.466653615,-0.687580347,0.540425956,-0.481477052,-0.683039725,0.549886167
-0.481477052,-0.683039725,0.549886167,-0.494743705,-0.674433529,0.559582293
-0.494743705,-0.674433529,0.559582293,-0.508122742,-0.665277779,0.56233269
-0.508122742,-0.665277779,0.56233269,-0.57489711,-0.610756576,0.562684119
-0.57489711,-0.610756576,0.562684119,-0.589210093,-0.61307013,0.564117849
-0.589210093,-0.61307013,0.564117849,-0.609907329,-0.613459527,0.560712636
-0.609907329,-0.613459527,0.560712636,-0.629078388,-0.611501694,0.557567894
-0.629078388,-0.611501694,0.557567894,-0.6466676,-0.607651651,0.55212599
-0.6466676,-0.607651651,0.55212599,-0.662577212,-0.603625357,0.539056957
-0.662577212,-0.603625357,0.539056957,-0.674972892,-0.61078769,0.511880457
-0.674972892,-0.61078769,0.511880457,-0.676606655,-0.612653196,0.489838541
-0.676606655,-0.612653196,0.489838541,-0.681915879,-0.619621634,0.455139577
-0.681915879,-0.619621634,0.455139577,-0.683743834,-0.622915387,0.429394662
-0.683743834,-0.622915387,0.429394662,-0.682011247,-0.62104553,0.416939557
-0.682011247,-0.62104553,0.416939557,-0.679933548,-0.618054211,0.407048106
-0.679933548,-0.618054211,0.407048106,-0.674310088,-0.610181212,0.361920476
-0.674310088,-0.610181212,0.361920476,-0.674310088,-0.610181212,0.361920476
-0.378673881,-0.649054706,0.413987517,-0.364888936,-0.642178416,0.411923051
-0.364888936,-0.642178416,0.411923051,-0.348723054,-0.63796562,0.417610288
-0.348723054,-0.63796562,0.417610288,-0.333749354,-0.635468483,0.427062571
-0.333749354,-0.635468483,0.427062571,-0.319553763,-0.634193718,0.438574195
-0.319553763,-0.634193718,0.438574195,-0.305661738,-0.633332431,0.451267302
-0.305661738,-0.633332431,0.451267302,-0.292662561,-0.634629548,0.459110379
-0.292662561,-0.634629548,0.459110379,-0.275703222,-0.641096115,0.460979164
-0.275703222,-0.641096115,0.460979164,-0.273438692,-0.643851936,0.440053761
-0.273438692,-0.643851936,0.440053761,-0.272519201,-0.648989201,0.412953019
-0.272519201,-0.648989201,0.412953019,-0.272301912,-0.650736809,0.38919729
-0.272301912,-0.650736809,0.38919729,-0.272347271,-0.651290417,0.365966737
-0.272347271,-0.651290417,0.365966737,-0.272319674,-0.651242614,0.342458069
-0.272319674,-0.651242614,0.342458069,-0.27241829,-0.651555061,0.320586503
-0.27241829,-0.651555061,0.320586503,-0.27543959,-0.670905709,0.310750246
-0.27543959,-0.670905709,0.310750246,-0.275000721,-0.667870104,0.290056467
-0.275000721,-0.667870104,0.290056467,-0.275471598,-0.670406818,0.261206031
-0.275471598,-0.670406818,0.261206031,-0.278681964,-0.673504293,0.280394018
-0.278681964,-0.673504293,0.280394018,-0.280570358,-0.673863351,0.305776775
-0.280570358,-0.673863351,0.305776775,-0.281201273,-0.675174594,0.328857124
-0.281201273,-0.675174594,0.328857124,-0.281340659,-0.675972521,0.351931036
-0.281340659,-0.675972521,0.351931036,-0.281321347,-0.675785184,0.375504792
-0.281321347,-0.675785184,0.375504792,-0.281210154,-0.674773276,0.39924258
-0.281210154,-0.674773276,0.39924258,-0.280930787,-0.672962487,0.423087537
-0.280930787,-0.672962487,0.423087537,-0.280520648,-0.670306146,0.447034717
-0.280520648,-0.670306146,0.447034717,-0.279987305,-0.666810095,0.47106427
-0.279987305,-0.666810095,0.47106427,-0.279297948,-0.662474215,0.495141566
-0.279297948,-0.662474215,0.495141566,-0.278502017,-0.657367289,0.518885314
-0.278502017,-0.657367289,0.518885314,-0.278345585,-0.655034125,0.53631717
-0.278345585,-0.655034125,0.53631717,-0.278641552,-0.656576753,0.54788059
-0.278641552,-0.656576753,0.54788059,-0.275916725,-0.641451538,0.561016977
-0.275916725,-0.641451538,0.561016977,-0.286932915,-0.645196259,0.560308158
-0.286932915,-0.645196259,0.560308158,-0.302862555,-0.651100576,0.556421101
-0.302862555,-0.651100576,0.556421101,-0.318144947,-0.65626657,0.55494529
-0.318144947,-0.65626657,0.55494529,-0.333349794,-0.661018193,0.554116786
-0.333349794,-0.661018193,0.554116786,-0.349098295,-0.665790141,0.552783787
-0.349098295,-0.665790141,0.552783787,-0.365154564,-0.670262933,0.551171005
-0.365154564,-0.670262933,0.551171005,-0.381510377,-0.674310923,0.549400032
-0.381510377,-0.674310923,0.549400032,-0.398111284,-0.677935243,0.547418416
-0.398111284,-0.677935243,0.547418416,-0.414994001,-0.681158841,0.545198262
-0.414994001,-0.681158841,0.545198262,-0.432114571,-0.683930933,0.542746484
-0.432114571,-0.683930933,0.542746484,-0.449485719,-0.686270595,0.540070474
-0.449485719,-0.686270595,0.540070474,-0.467062861,-0.688121974,0.537293494
-0.467062861,-0.688121974,0.537293494,-0.48354435,-0.687162519,0.540231407
-0.48354435,-0.687162519,0.540231407,-0.497957438,-0.681071699,0.551617682
-0.497957438,-0.681071699,0.551617682,-0.511162221,-0.671892345,0.560559094
-0.511162221,-0.671892345,0.560559094,-0.524625003,-0.662552118,0.562654912
-0.524625003,-0.662552118,0.562654912,-0.572914779,-0.623079062,0.563013613
-0.572914779,-0.623079062,0.563013613,-0.587223649,-0.625458598,0.564340293
-0.587223649,-0.625458598,0.564340293,-0.607940316,-0.625929356,0.560716569
-0.607940316,-0.625929356,0.560716569,-0.627230108,-0.624015808,0.55731529
-0.627230108,-0.624015808,0.55731529,-0.644948602,-0.620201409,0.551736653
-0.644948602,-0.620201409,0.551736653,-0.660964072,-0.616230905,0.538555562
-0.660964072,-0.616230905,0.538555562,-0.673028231,-0.623113275,0.512229741
-0.673028231,-0.623113275,0.512229741,-0.67465049,-0.624975204,0.490150988
-0.67465049,-0.624975204,0.490150988,-0.679914951,-0.632090092,0.455245376
-0.679914951,-0.632090092,0.455245376,-0.681689441,-0.635351777,0.42985481
-0.681689441,-0.635351777,0.42985481,-0.67988199,-0.633350611,0.417787611
-0.67988199,-0.633350611,0.417787611,-0.677901685,-0.630379438,0.407935977
-0.677901685,-0.630379438,0.407935977,-0.672364533,-0.622532308,0.362285733
-0.672364533,-0.622532308,0.362285733,-0.672364533,-0.622532308,0.362285733
